FID,FID_1,OBJECTID,Id,gridcode,area,perimeter,iso,ORIG_FID,FID_2,MUNI_NUM,MUNI_NAME,MUNI_TYPE,MUNI_NAME_,GOVT_JURIS,COUNTY_NAM,STATE_NAME,STATE_ABBR,FIPS_STATE,FIPS_COUNT,FIPS_MUNI,FIPS_CODE_,SHAPE_AREA,SHAPE_LEN
0,3880,17068,17068,1,576,112,0.577027222000000,3880,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
1,3889,17116,17116,1,576,112,0.577027222000000,3889,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
2,3902,17165,17165,1,15321,656,0.447393117000000,3902,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
3,3945,17339,17339,1,12373,455,0.751038298000000,3945,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
4,4036,17662,17662,1,27665,1009,0.341474444000000,4036,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
5,2700,12631,12631,1,2468,219,0.646646289000000,2700,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
6,2741,12763,12763,1,2700,240,0.589048623000000,2741,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
7,2742,12765,12765,1,900,120,0.785398163000000,2742,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
8,2762,12820,12820,1,900,120,0.785398163000000,2762,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
9,2813,13021,13021,1,4147,308,0.549341573000000,2813,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
10,2827,13070,13070,1,900,120,0.785398163000000,2827,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
11,2854,13172,13172,1,1882,225,0.467158706000000,2854,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
12,2907,13341,13341,1,32794,1237,0.269317675000000,2907,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
