FID,FID_1,OBJECTID,Id,gridcode,area,perimeter,iso,ORIG_FID,FID_2,MUNI_NUM,MUNI_NAME,MUNI_TYPE,MUNI_NAME_,GOVT_JURIS,COUNTY_NAM,STATE_NAME,STATE_ABBR,FIPS_STATE,FIPS_COUNT,FIPS_MUNI,FIPS_CODE_,SHAPE_AREA,SHAPE_LEN
0,3825,17236,17236,1,576,112,0.577027222000000,3825,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
1,3834,17284,17284,1,576,112,0.577027222000000,3834,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
2,3845,17330,17330,1,15321,656,0.447393117000000,3845,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
3,3893,17512,17512,1,12373,455,0.751038298000000,3893,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
4,3980,17831,17831,1,27665,1009,0.341474444000000,3980,3,12,Honey Brook,Borough,Honey Brook Borough,Municipality,Chester,Pennsylvania,PA,42,029,35528,4202935528,13369802.434499999508262,16990.682183299999451
5,2625,12685,12685,1,2468,219,0.646646289000000,2625,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
6,2665,12815,12815,1,2700,240,0.589048623000000,2665,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
7,2666,12817,12817,1,900,120,0.785398163000000,2666,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
8,2685,12871,12871,1,900,120,0.785398163000000,2685,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
9,2734,13074,13074,1,4147,308,0.549341573000000,2734,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
10,2749,13123,13123,1,900,120,0.785398163000000,2749,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
11,2775,13224,13224,1,1882,225,0.467158706000000,2775,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
12,2828,13402,13402,1,32794,1237,0.269317675000000,2828,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
13,2888,13580,13580,1,1046,173,0.439186864000000,2888,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
14,2906,13654,13654,1,93333,2019,0.287721590000000,2906,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
15,2917,13696,13696,1,8702,476,0.482630804000000,2917,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
16,2952,13779,13779,1,2428,289,0.365311094000000,2952,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
17,3013,13994,13994,1,900,120,0.785398163000000,3013,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
18,3027,14045,14045,1,4189,288,0.634651409000000,3027,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
19,3034,14081,14081,1,3513,269,0.610075316000000,3034,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
20,3043,14131,14131,1,900,120,0.785398163000000,3043,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
21,3051,14167,14167,1,1800,180,0.698131701000000,3051,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
22,3058,14207,14207,1,21295,844,0.375666627000000,3058,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
23,3059,14208,14208,1,13974,529,0.627507988000000,3059,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
24,3073,14261,14261,1,6300,337,0.697092823000000,3073,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
25,3074,14265,14265,1,900,120,0.785398163000000,3074,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
26,3101,14369,14369,1,2700,240,0.589048623000000,3101,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
27,3102,14371,14371,1,576,112,0.577027222000000,3102,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
28,3110,14414,14414,1,900,120,0.785398163000000,3110,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
29,3111,14416,14416,1,1800,180,0.698131701000000,3111,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
30,3123,14467,14467,1,4919,352,0.498886049000000,3123,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
31,3124,14471,14471,1,2782,246,0.577692561000000,3124,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
32,3162,14611,14611,1,2700,240,0.589048623000000,3162,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
33,3163,14613,14613,1,8448,550,0.350944459000000,3163,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
34,3164,14614,14614,1,10055,433,0.673932105000000,3164,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
35,3165,14619,14619,1,4470,354,0.448240262000000,3165,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
36,3178,14674,14674,1,900,120,0.785398163000000,3178,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
37,3189,14733,14733,1,2391,209,0.687854952000000,3189,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
38,3190,14739,14739,1,56528,1322,0.406453225000000,3190,10,54,Willistown,Township,Willistown Township,Municipality,Chester,Pennsylvania,PA,42,029,85352,4202985352,509160769.537000000476837,121975.978432000003522
