OBJECTID,FID_,COUNT,AREA,MEAN
1,0,32,117964800.000000000000000,0.092274500755593
2,1,64,235929600.000000000000000,0.095250694081187
3,2,32,117964800.000000000000000,0.095866005402058
4,3,64,235929600.000000000000000,0.108561292872764
5,4,64,235929600.000000000000000,0.104785791132599
6,5,64,235929600.000000000000000,0.102341305813752
7,6,32,117964800.000000000000000,0.101880257949233
8,7,56,206438400.000000000000000,0.120669604146055
9,8,64,235929600.000000000000000,0.116184947662987
10,9,64,235929600.000000000000000,0.111641944735311
11,10,64,235929600.000000000000000,0.109223831212148
12,11,32,117964800.000000000000000,0.108389523345977
13,12,64,235929600.000000000000000,0.122775399475358
14,13,56,206438400.000000000000000,0.122598497463124
15,14,64,235929600.000000000000000,0.119316747062840
16,15,64,235929600.000000000000000,0.115527339978144
17,16,64,235929600.000000000000000,0.113779814913869
18,17,32,117964800.000000000000000,0.113452146761119
19,18,56,206438400.000000000000000,0.121782937619303
20,19,56,206438400.000000000000000,0.123848899533706
21,20,49,180633600.000000000000000,0.122760139557780
22,21,56,206438400.000000000000000,0.119926709415657
23,22,56,206438400.000000000000000,0.116703739389777
24,23,56,206438400.000000000000000,0.115572149732283
25,24,28,103219200.000000000000000,0.115037478506565
26,25,64,235929600.000000000000000,0.112464792560786
27,26,64,235929600.000000000000000,0.122658762615174
28,27,64,235929600.000000000000000,0.123474218999036
29,28,56,206438400.000000000000000,0.122035777728472
30,29,64,235929600.000000000000000,0.119822991779074
31,30,64,235929600.000000000000000,0.117584886145778
32,31,64,235929600.000000000000000,0.116401473758742
33,32,32,117964800.000000000000000,0.115724519826472
34,33,56,206438400.000000000000000,0.095166796419237
35,34,64,235929600.000000000000000,0.100944646284916
36,35,64,235929600.000000000000000,0.109889948740602
37,36,64,235929600.000000000000000,0.117671845597215
38,37,64,235929600.000000000000000,0.119883688632399
39,38,56,206438400.000000000000000,0.119760701299778
40,39,64,235929600.000000000000000,0.118747819215059
41,40,64,235929600.000000000000000,0.117474003694952
42,41,64,235929600.000000000000000,0.116387934307568
43,42,32,117964800.000000000000000,0.115823411848396
44,43,64,235929600.000000000000000,0.107079213019460
45,44,64,235929600.000000000000000,0.112782373675145
46,45,64,235929600.000000000000000,0.115820015547797
47,46,56,206438400.000000000000000,0.116713696159422
48,47,64,235929600.000000000000000,0.116508902050555
49,48,64,235929600.000000000000000,0.115946547011845
50,49,64,235929600.000000000000000,0.114965298911557
51,50,32,117964800.000000000000000,0.114196859998628
52,51,64,235929600.000000000000000,0.113524143234827
53,52,64,235929600.000000000000000,0.112677447265014
54,53,32,117964800.000000000000000,0.111829470144585
55,54,16,58982400.000000000000000,0.109922522678971
56,55,64,235929600.000000000000000,0.090102785150521
57,56,56,206438400.000000000000000,0.094744355683880
58,57,64,235929600.000000000000000,0.100477546337061
59,58,64,235929600.000000000000000,0.086732143186964
60,59,64,235929600.000000000000000,0.090259636635892
61,60,56,206438400.000000000000000,0.094463980623654
62,61,64,235929600.000000000000000,0.099396566627547
63,62,64,235929600.000000000000000,0.104736502980813
64,63,64,235929600.000000000000000,0.109351993887685
65,64,64,235929600.000000000000000,0.112420019344427
66,65,56,206438400.000000000000000,0.113589441004608
67,66,64,235929600.000000000000000,0.113922165939584
68,67,32,117964800.000000000000000,0.085357041796669
69,68,32,117964800.000000000000000,0.087491011014208
70,69,32,117964800.000000000000000,0.090577393770218
71,70,28,103219200.000000000000000,0.094193227589130
72,71,32,117964800.000000000000000,0.098564084386453
73,72,32,117964800.000000000000000,0.103199878009036
74,73,32,117964800.000000000000000,0.107338781701401
75,74,32,117964800.000000000000000,0.110329176997766
76,75,28,103219200.000000000000000,0.111457414392914
77,76,32,117964800.000000000000000,0.111930220620707
78,77,32,117964800.000000000000000,0.111664345255122
79,78,32,117964800.000000000000000,0.110906783957034
80,79,16,58982400.000000000000000,0.080253390129656
